bohr_id,X,Y,latitude,longitude,dataset
Ettersberg_7_1963,4455209.6,5653473.4,51.014701237936684,11.36023350113995,All Points
FahnerHöhe_13_1963,4415997.7,5656150.7,51.03437076684769,10.800944505964603,All Points
Frauenpriebnitz_1_1966,4478795.0,5646270.8,50.951313316790895,11.696738291725556,All Points
Gotha_1_1963,4408179.3,5642181.9,50.90764342862149,10.6930401491082,All Points
Gotha_2_1963,4409458.0,5642593.4,50.911543411575686,10.711112997670803,All Points
Griefstedt_Region,4440032.9,5677432.2,51.22865229427683,11.140002834090595,All Points
Grossbrembach_1_1973,4451821.8,5664811.0,51.11633090371779,11.31045028484106,All Points
Großbrembach_3_1973,4455446.6,5664238.1,51.11147503632264,11.362284133669705,All Points
Gumperda_1_1963,4463771.7,5630407.0,50.8079693065153,11.48452915897428,All Points
Günthersleben_1_1964,4412860.3,5643371.3,50.91905792611628,10.759290969249285,All Points
Hachelbich_1_1959,4428869.12,5690723.56,51.346819380967666,10.977559717575133,All Points
Hachelbich_3_1989,4428186.1,5689643.8,51.33702981438104,10.967975934544343,All Points
Hainich_Eigenrieden_1_1961,4382091.27,5676845.77,51.21435704196429,10.310993831826757,All Points
Hainich_Eigenrieden_2_1961,4380897.62,5678133.15,51.225675914939714,10.293490966458362,All Points
Hainich_Eigenrieden_3_1962,4380601.17,5676065.27,51.2070350860976,10.289937475429301,All Points
Hainich_Eigenrieden_4_1962,4379049.79,5678751.93,51.230846850874826,10.266842576458883,All Points
Hainich_Hallungen_1_1962,4381905.01,5668533.89,51.13963900781037,10.311059592595017,All Points
Hainleite_1_1963,4425463.9,5689057.9,51.33141409386792,10.929042702404807,All Points
Haussömmern_1_1970,4419570.6,5670916.6,51.16758149402229,10.848579350705576,All Points
Hohenwart_3_1967,4364949.16,5627334.92,50.765765897072804,10.084195135744096,All Points
Holzsußra_2_1970,4407898.0,5685198.2,51.294157460838406,10.678067908175626,All Points
Holzthaleben_2_1969,4402868.7,5689303.1,51.330207391705045,10.604869689418775,All Points
Holzthaleben_3_1970,4403351.9,5690008.8,51.33663091755623,10.61160891860422,All Points
Holzthaleben_4_1970,4404306.4,5690367.0,51.340011040266404,10.625205322709165,All Points
Holzthaleben_5_1971,4406226.6,5691376.4,51.34940128743277,10.652487724627672,All Points
Ilfeld_1_1991,4416254.24,5716137.05,51.57347040968658,10.79052185398913,All Points
Jena_Z_103_1963,4458846.6,5656519.4,51.04235164667549,11.411711628603518,All Points
Jena_Z_104_1962,4476812.6,5657389.5,51.051179617801004,11.667816900540302,All Points
Kalbsrieth_5_1986,4455281.3,5690669.8,51.349028787422476,11.356623479746352,All Points
Keula_2_1961,4396365.8,5687250.9,51.31062006203045,10.512196501339554,All Points
Keula_3_1962,4397984.3,5687087.6,51.309445116924834,10.535447109644238,All Points
Keula_4_1961,4396420.6,5688058.6,51.31788750361824,10.51274758496436,All Points
Kirchheilingen_10_1960,4407153.9,5675860.4,51.210126729006205,10.669825429162236,All Points
